ds,unique_id,y
2023-07-01,0205052AEAAACAC,26011.0
2023-07-01,0206020A0AAAAAA,1399522.0
2023-07-01,0601023X0AAAAAA,59335.0
2023-07-01,0302000C0BUAABX,6963.0
2023-07-01,0302000AABBACAC,1190.0
2023-07-01,1404000H0AAAFAF,0.0
2023-08-01,0901020G0AAAGAG,714185.0
2023-08-01,0601023AGAAABAB,264616.0
2023-08-01,0407010F0AAAHAH,1295002.0
2023-08-01,0302000C0BRAABY,5559.0
2023-08-01,0913011V0BCAAAC,4402625.0
2023-08-01,0105010E0AAABAB,146574.0
2023-08-01,0604011L0BHABAX,42826.0
2023-08-01,0208020AAAAACAC,242947.0
2023-08-01,0208020Z0AAAAAA,215961.0
2023-08-01,21480000101,10598.0
2023-08-01,0208020Y0AAACAC,275371.0
2023-08-01,0209000C0AAAAAA,785003.0
2023-08-01,0704010U0AAAAAA,621184.0
2023-08-01,1404000H0AAANAN,0.0
2023-08-01,0204000H0AAAJAJ,701679.0
2023-08-01,0906040G0DGAADI,491400.0
2023-08-01,0302000AABBAAAA,4673.0
2023-08-01,0302000K0BDABAM,3715.0
2023-08-01,0208020AAAAABAB,133873.0
2023-08-01,0403010B0AAAGAG,1475924.0
2023-08-01,0601011A0BBABAB,11598.0
2023-08-01,0205051R0AAADAD,794326.0
2023-08-01,0407010H0AAAMAM,5524715.0
2023-08-01,0601023AKAAACAC,70354.0
2023-08-01,0601023ANAAAAAA,79434.0
2023-08-01,0212000B0AAABAB,2492771.0
2023-08-01,0301020Q0BBACAC,2368.0
2023-08-01,0601022B0AAABAB,2114869.0
2023-08-01,0304030C0BEABA3,1271.0
2023-08-01,0403030Q0AAABAB,664248.0
2023-08-01,0106040M0BCACAA,352295.0
2023-08-01,0301020Q0BCAAAD,80160.0
2023-08-01,0501130R0AAAGAG,85724.0
2023-08-01,0212000B0AAADAD,532928.0
2023-08-01,0109040N0BDABAQ,303648.0
2023-08-01,0302000Z0BBAAAA,3025.0
2023-08-01,0103050P0AAAAAA,3309648.0
2023-08-01,0103050L0AAABAB,615954.0
2023-08-01,0601023ANAAABAB,82353.0
2023-08-01,0103050L0AAAAAA,875636.0
2023-08-01,0103010H0AAAAAA,125192.0
2023-08-01,0601012V0BBAEAD,6542.0
2023-08-01,0601023AEAAAAAA,96389.0
2023-08-01,0205051R0AAABAB,625073.0
2023-08-01,0208020Y0AAABAB,75330.0
2023-08-01,0407010H0AABGBG,1897183.0
2023-08-01,0803042W0BBAAAA,605.0
2023-08-01,0302000K0BHAAAM,1929.0
2023-08-01,0208020Z0AAABAB,635846.0
2023-08-01,0301011R0BIAFAP,22241.0
2023-08-01,0206020A0AAABAB,829149.0
2023-08-01,0602010V0AABXBX,787050.0
2023-08-01,0601011A0BBADAC,8769.0
2023-08-01,0601023AWBBACAC,1261.0
2023-08-01,0601023AQBBABAB,2861.0
2023-08-01,0212000B0AAACAC,930140.0
2023-08-01,0403030D0AAAAAA,626014.0
2023-08-01,0403030Q0AAAAAA,763116.0
2023-08-01,0301040Y0BBAAAA,55790.0
2023-08-01,0602010V0AABZBZ,951367.0
2023-08-01,0704020AEAAABAB,94888.0
2023-08-01,0302000C0BQAABX,4533.0
2023-08-01,0602010V0AABWBW,781646.0
2023-08-01,0209000A0AAABAB,1159365.0
2023-08-01,0601012S0BGAFAI,13722.0
2023-08-01,0302000C0BQABBZ,1772.0
2023-08-01,0401010ADAACZCZ,49450.0
2023-08-01,0205052AEAAACAC,25785.0
2023-08-01,0206020A0AAAAAA,1450112.0
2023-08-01,0601023X0AAAAAA,59092.0
2023-08-01,0302000C0BUAABX,7201.0
2023-08-01,0302000AABBACAC,1256.0
2023-08-01,1404000H0AAAFAF,1.0
2023-09-01,0901020G0AAAGAG,694428.0
2023-09-01,0601023AGAAABAB,270411.0
2023-09-01,0407010F0AAAHAH,1260427.0
2023-09-01,0302000C0BRAABY,5448.0
2023-09-01,0913011V0BCAAAC,4338000.0
2023-09-01,0105010E0AAABAB,150339.0
2023-09-01,0604011L0BHABAX,42993.0
2023-09-01,0208020AAAAACAC,240671.0
2023-09-01,0208020Z0AAAAAA,211278.0
2023-09-01,21480000101,10536.0
2023-09-01,0208020Y0AAACAC,261980.0
2023-09-01,0209000C0AAAAAA,757947.0
2023-09-01,0704010U0AAAAAA,609524.0
2023-09-01,1404000H0AAANAN,54253.0
2023-09-01,0204000H0AAAJAJ,684673.0
2023-09-01,0906040G0DGAADI,481272.0
2023-09-01,0302000AABBAAAA,4460.0
2023-09-01,0302000K0BDABAM,3639.0
2023-09-01,0208020AAAAABAB,132423.0
2023-09-01,0403010B0AAAGAG,1427019.0
2023-09-01,0601011A0BBABAB,11380.0
2023-09-01,0205051R0AAADAD,769840.0
2023-09-01,0407010H0AAAMAM,5361454.0
2023-09-01,0601023AKAAACAC,69622.0
2023-09-01,0601023ANAAAAAA,79976.0
2023-09-01,0212000B0AAABAB,2457929.0
2023-09-01,0301020Q0BBACAC,2157.0
2023-09-01,0601022B0AAABAB,2039485.0
2023-09-01,0304030C0BEABA3,1331.0
2023-09-01,0403030Q0AAABAB,649635.0
2023-09-01,0106040M0BCACAA,345310.0
2023-09-01,0301020Q0BCAAAD,71670.0
2023-09-01,0501130R0AAAGAG,81947.0
2023-09-01,0212000B0AAADAD,513274.0
2023-09-01,0109040N0BDABAQ,185661.0
2023-09-01,0302000Z0BBAAAA,2888.0
2023-09-01,0103050P0AAAAAA,3185942.0
2023-09-01,0103050L0AAABAB,599925.0
2023-09-01,0601023ANAAABAB,83548.0
2023-09-01,0103050L0AAAAAA,847016.0
2023-09-01,0103010H0AAAAAA,125874.0
2023-09-01,0601012V0BBAEAD,6588.0
2023-09-01,0601023AEAAAAAA,94693.0
2023-09-01,0205051R0AAABAB,608417.0
2023-09-01,0208020Y0AAABAB,72656.0
2023-09-01,0407010H0AABGBG,1777384.0
2023-09-01,0803042W0BBAAAA,682.0
2023-09-01,0302000K0BHAAAM,1932.0
2023-09-01,0208020Z0AAABAB,617042.0
2023-09-01,0301011R0BIAFAP,22906.0
2023-09-01,0206020A0AAABAB,808426.0
2023-09-01,0602010V0AABXBX,764967.0
2023-09-01,0601011A0BBADAC,8353.0
2023-09-01,0601023AWBBACAC,1132.0
2023-09-01,0601023AQBBABAB,2751.0
2023-09-01,0212000B0AAACAC,920945.0
